date,code,name,bull_regime,idx_ret20,idx_atr_ratio,hx,hl,bx,bl,mean_prob,std_prob,max_prob,min_prob,bull_mean,hybrid_mean,bull_hybrid_gap,score
2026-04-01,294870,HDC현대산업개발,0,0.07561735060488384,0.04247045049789452,0.3438496986884084,0.28711864406779664,0.2666666666666666,0.2617801047120419,0.2898537785337284,0.03763337912226057,0.3438496986884084,0.2617801047120419,0.2642233856893542,0.31548417137810253,-0.05126078568874831,0.0403682682984836
2026-04-01,095570,AJ네트웍스,0,0.07561735060488384,0.04247045049789452,0.25237191650853885,0.28711864406779664,0.24084507042253522,0.2236842105263158,0.2510049603812966,0.026806177491236094,0.28711864406779664,0.2236842105263158,0.23226464047442552,0.26974528028816774,-0.03748063981374222,0.0403682682984836
2026-04-01,092200,디아이씨,0,0.07561735060488384,0.04247045049789452,0.25237191650853885,0.28711864406779664,0.17959183673469387,0.21052631578947367,0.23240217827512577,0.0471174688307843,0.28711864406779664,0.17959183673469387,0.19505907626208377,0.26974528028816774,-0.07468620402608397,0.0403682682984836
2026-04-01,016380,KG스틸,0,0.07561735060488384,0.04247045049789452,0.24501424501424504,0.28711864406779664,0.12681159420289856,0.17105263157894737,0.2074992787159719,0.07207745036879877,0.28711864406779664,0.12681159420289856,0.14893211289092295,0.26606644454102085,-0.1171343316500979,0.0403682682984836
2026-04-01,105630,한세실업,0,0.07561735060488384,0.04247045049789452,0.25237191650853885,0.30803177405119153,0.2666666666666666,0.1601941747572816,0.24681613299591965,0.062384904093743684,0.30803177405119153,0.1601941747572816,0.2134304207119741,0.2802018452798652,-0.06677142456789109,0.0403682682984836
2026-04-01,069260,TKG휴켐스,0,0.07561735060488384,0.04247045049789452,0.3315363881401617,0.30803177405119153,0.2318840579710145,0.17582417582417584,0.26181909899663586,0.0713847444810231,0.3315363881401617,0.17582417582417584,0.20385411689759517,0.3197840810956766,-0.11592996419808141,0.0403682682984836
2026-04-01,330590,롯데리츠,0,0.07561735060488384,0.04247045049789452,0.24501424501424504,0.30803177405119153,0.2502708559046587,0.2617801047120419,0.2662742449205343,0.028705310724208875,0.30803177405119153,0.24501424501424504,0.25602548030835026,0.2765230095327183,-0.02049752922436804,0.0403682682984836
2026-04-01,001790,대한제당,0,0.07561735060488384,0.04247045049789452,0.2674418604651162,0.28711864406779664,0.19590382902938558,0.17562724014336917,0.2315228934264169,0.05408050014242407,0.28711864406779664,0.17562724014336917,0.18576553458637737,0.2772802522664564,-0.09151471768007904,0.0403682682984836
2026-04-01,021240,코웨이,0,0.07561735060488384,0.04247045049789452,0.3315363881401617,0.28711864406779664,0.19590382902938558,0.2617801047120419,0.2690847414873464,0.056669314090690856,0.3315363881401617,0.19590382902938558,0.22884196687071373,0.3093275161039791,-0.0804855492332654,0.0403682682984836
2026-04-01,383800,LX홀딩스,0,0.07561735060488384,0.04247045049789452,0.2674418604651162,0.28711864406779664,0.19590382902938558,0.2236842105263158,0.24353713602215357,0.041367677720804324,0.28711864406779664,0.19590382902938558,0.20979401977785067,0.2772802522664564,-0.06748623248860575,0.0403682682984836
